num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250105,0.4,1,22.2,1,454,9,30,1,1136,9,25.2,1,26.1,1,7.8,1,20,9,21.8,9,0,9,2.3,1,,,5.4,1,70,1,1523,9,8.4,1,60,1,1518,9,,,,,,,7.3,1,,,1519,9,9,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250104,15,1,22.6,1,2255,9,30.6,1,1401,9,24.9,1,26.6,1,8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250105,1.6,1,21.9,1,458,9,29.4,1,1257,9,24.6,1,25.7,1,7.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250110,0,1,18.8,1,402,9,30.3,1,1115,9,24.3,1,24.6,1,11.5,1,14.8,9,17.8,9,0,9,1.9,1,,,4.7,1,340,1,1525,9,7.5,1,350,1,1343,9,,,,,,,6.5,1,,,1156,9,0,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250111,0,1,22.6,1,622,9,29.8,1,1120,9,24.9,1,26.2,1,7.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250108,0,1,22.8,1,413,9,30.3,1,1010,9,25.2,1,26.6,1,7.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250105,0,1,21.6,1,700,9,28.6,1,1100,9,24.8,1,25.1,1,7,1,20.1,9,21.3,9,,,,,1.3,9,,,,,,,,,,,,,6,9,90,9,1518,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250109,0,1,19.5,1,524,9,29.5,1,1229,9,24.3,1,24.5,1,10,1,15.3,9,18.2,9,0,9,1.5,1,,,4.4,1,180,1,1358,9,8.6,1,170,1,1022,9,,,,,,,7.3,1,,,1022,9,0,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250113,0.2,1,22.1,1,435,9,29.9,1,1234,9,24.9,1,26,1,7.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250102,0.5,1,22.6,1,2100,9,28.3,1,1200,9,25.4,1,25.5,1,5.7,1,18.2,9,20.8,9,,,,,1.8,9,,,,,,,,,,,,,7,9,70,9,1318,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250106,1,1,21.6,1,701,9,28.5,1,1321,9,24.4,1,25.1,1,6.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250108,0,1,21.6,1,418,9,29.7,1,1113,9,25.2,1,25.7,1,8.1,1,18.1,9,20.8,9,0,9,2.1,1,,,5.5,1,130,1,1226,9,9.6,1,140,1,1224,9,,,,,,,8.9,1,,,1224,9,0,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250101,0,1,20.1,1,600,9,28.9,1,1400,9,24.4,1,24.5,1,8.8,1,16.4,9,18.9,9,,,,,1.2,9,,,,,,,,,,,,,7,9,100,9,1154,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250106,1.2,1,20.1,1,607,9,29.1,1,1107,9,24.9,1,24.6,1,9,1,16.1,9,18.8,9,0,9,3.4,1,,,8.2,1,70,1,1412,9,13,1,70,1,1408,9,,,,,,,12.1,1,,,1410,9,51,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250103,0,1,22.1,1,2000,9,29.3,1,1300,9,24.8,1,25.7,1,7.2,1,19.6,9,20.3,9,,,,,1.6,9,,,,,,,,,,,,,8,9,110,9,1130,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250107,0,1,22.3,1,308,9,29.1,1,1109,9,25.4,1,25.7,1,6.8,1,19.6,9,21.8,9,0,9,2.5,1,,,7.7,1,80,1,1148,9,12.1,1,70,1,1140,9,,,,,,,10.9,1,,,1141,9,13,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250110,0,1,21.2,1,335,9,30.9,1,1227,9,24.4,1,26.1,1,9.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250109,0,1,22,1,440,9,30.7,1,1420,9,25,1,26.4,1,8.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250107,0,1,22,1,324,9,28.8,1,1423,9,24.6,1,25.4,1,6.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250104,41.5,1,20.2,1,0,9,27.7,1,1000,9,23.4,1,24,1,7.5,1,16.3,9,18.5,9,,,,,1,9,,,,,,,,,,,,,7,9,100,9,1000,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250111,0.2,1,22.3,1,437,9,30,1,1228,9,25.1,1,26.2,1,7.7,1,18,9,21,9,0,9,1.9,1,,,5,1,60,1,1526,9,7.9,1,80,1,1230,9,,,,,,,7.4,1,,,1617,9,0,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250114,3,1,22.4,1,2307,9,28.6,1,1530,9,23.9,1,25.5,1,6.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250112,0,1,21.6,1,610,9,31.3,1,1406,9,24.9,1,26.5,1,9.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250112,0.2,1,19.2,1,520,9,30.2,1,1322,9,24.2,1,24.7,1,11,1,15.7,9,18.1,9,0,9,1.9,1,,,5.6,1,80,1,1517,9,9.8,1,30,1,1100,9,,,,,,,8,1,,,1511,9,0,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250113,0,1,20.5,1,253,9,29.6,1,1404,9,24.5,1,25.1,1,9.1,1,16.8,9,19.5,9,0,9,2.4,1,,,6.5,1,50,1,1012,9,10.2,1,30,1,1007,9,,,,,,,9.6,1,,,1010,9,20,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250114,3.8,1,21.3,1,2325,9,28.3,1,1313,9,24,1,24.8,1,7,1,17.4,9,20.3,9,0,9,1.9,1,,,6.1,1,40,1,1348,9,9.5,1,40,1,1248,9,,,,,,,8.9,1,,,1342,9,155,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250115,0,1,21.9,1,552,9,29,1,1443,9,24.3,1,25.5,1,7.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250115,0.2,1,19.4,1,239,9,29,1,1212,9,24.2,1,24.2,1,9.6,1,16.1,9,18.1,9,0,9,1.9,1,,,5,1,90,1,1525,9,10.4,1,120,1,1259,9,,,,,,,8.6,1,,,1259,9,11,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250116,0.4,1,21.7,1,558,9,30.9,1,1238,9,25,1,26.3,1,9.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250116,0.4,1,19.3,1,535,9,30.3,1,1207,9,24.4,1,24.8,1,11,1,15,9,17.8,9,0,9,1.8,1,,,6.2,1,50,1,1524,9,9.5,1,50,1,1515,9,,,,,,,8.7,1,,,1515,9,27,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250117,2.4,1,20.2,1,448,9,29.8,1,1202,9,25.3,1,25,1,9.6,1,16.5,9,19.1,9,0,9,3.3,1,,,7.5,1,70,1,1354,9,11.7,1,70,1,1037,9,,,,,,,10.5,1,,,1037,9,51,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250117,1,1,22.2,1,622,9,29.6,1,1038,9,25.3,1,25.9,1,7.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250118,1.8,1,22.4,1,528,9,27.7,1,1119,9,24.7,1,25.1,1,5.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250118,3.2,1,23,1,248,9,28.7,1,1216,9,25.5,1,25.9,1,5.7,1,20,9,22.1,9,0,9,4.7,1,,,8.9,1,70,1,1520,9,14.5,1,70,1,1611,9,,,,,,,13.7,1,,,1611,9,113,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250113,0,1,21.1,1,400,9,29.3,1,1200,9,24.7,1,25.2,1,8.2,1,16.9,9,19.6,9,,,,,0.9,9,,,,,,,,,,,,,6,9,50,9,1224,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250107,1,1,22.5,1,200,9,27.6,1,1100,9,24.7,1,25.1,1,5.1,1,21.1,9,22,9,,,,,1.5,9,,,,,,,,,,,,,7,9,130,9,1142,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250111,0,1,21.8,1,700,9,28.9,1,1300,9,24.8,1,25.4,1,7.1,1,17.9,9,20.8,9,,,,,0.8,9,,,,,,,,,,,,,5,9,160,9,1524,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250114,0.5,1,22,1,2000,9,28.3,1,1500,9,24.3,1,25.2,1,6.3,1,18.4,9,20.6,9,,,,,0.6,9,,,,,,,,,,,,,5,9,80,9,1448,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250119,0,1,22.8,1,535,9,29.5,1,1223,9,26.3,1,26.2,1,6.7,1,17.7,9,21.2,9,0,9,5,1,,,9.2,1,90,1,1109,9,14.5,1,80,1,1319,9,,,,,,,13.2,1,,,1328,9,0,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250112,0,1,19.3,1,600,9,29.1,1,1400,9,24,1,24.2,1,9.8,1,16.1,9,18,9,,,,,0.9,9,,,,,,,,,,,,,6,9,110,9,1448,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250106,7,1,22.9,1,600,9,28.6,1,1300,9,25.3,1,25.8,1,5.7,1,18.9,9,21.8,9,,,,,1.9,9,,,,,,,,,,,,,8,9,100,9,1242,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250110,0,1,19.6,1,700,9,29.7,1,1200,9,24.4,1,24.7,1,10.1,1,15.7,9,18.4,9,,,,,0.7,9,,,,,,,,,,,,,5,9,350,9,1324,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250108,0,1,21.5,1,500,9,29,1,1300,9,24.6,1,25.3,1,7.5,1,18.3,9,20.2,9,,,,,1.2,9,,,,,,,,,,,,,6,9,140,9,1400,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250119,0,1,23,1,636,9,29.3,1,1451,9,25.7,1,26.2,1,6.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250109,0,1,20.1,1,500,9,28.5,1,1400,9,24,1,24.3,1,8.4,1,16.3,9,18.7,9,,,,,0.7,9,,,,,,,,,,,,,5,9,110,9,1106,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250120,0.6,1,24.1,1,557,9,30.3,1,1259,9,26.4,1,27.2,1,6.2,1,19.5,9,22.6,9,0,9,4.7,1,,,9.5,1,70,1,1011,9,14.5,1,50,1,1008,9,,,,,,,13.7,1,,,1012,9,38,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250120,1.4,1,23.4,1,2000,9,30.1,1,1321,9,25.6,1,26.8,1,6.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250121,0.6,1,23.5,1,2225,9,29.7,1,1318,9,26.3,1,26.6,1,6.2,1,20.1,9,22.3,9,0,9,4.6,1,,,9.7,1,90,1,940,9,15.9,1,90,1,935,9,,,,,,,14.9,1,,,935,9,39,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250125,1,1,21.6,1,433,9,30.6,1,1359,9,26.2,1,26.1,1,9,1,17.6,9,20.2,9,0,9,4.3,1,,,8.6,1,120,1,1044,9,14,1,120,1,1239,9,,,,,,,12.2,1,,,1238,9,16,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250122,5.6,1,23.4,1,1939,9,29.5,1,1046,9,25.2,1,26.5,1,6.1,1,19.9,9,22.3,9,0,9,3.4,1,,,9.6,1,130,1,1222,9,16.9,1,140,1,1214,9,,,,,,,14.6,1,,,1214,9,107,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250118,1.5,1,24.1,1,2200,9,29.1,1,1100,9,26.1,1,26.6,1,5,1,21.1,9,22.5,9,,,,,2.9,9,,,,,,,,,,,,,10,9,80,9,1312,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250124,0.6,1,21,1,117,9,29.8,1,1058,9,25.4,1,25.4,1,8.8,1,17.1,9,19.4,9,0,9,3.4,1,,,8.3,1,80,1,1517,9,13.5,1,80,1,1325,9,,,,,,,12.3,1,,,1230,9,28,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250124,0,1,22.4,1,639,9,28.8,1,1456,9,24.8,1,25.6,1,6.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250125,1,1,23,1,620,9,28.9,1,1509,9,25.4,1,26,1,5.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250123,7.6,1,22.2,1,439,9,26.8,1,1433,9,24,1,24.5,1,4.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250121,4,1,22.5,1,2146,9,28.3,1,1052,9,25.2,1,25.4,1,5.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250122,7.4,1,22.5,1,353,9,28.4,1,1112,9,24.2,1,25.5,1,5.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250115,0,1,20.7,1,0,9,28.4,1,1300,9,24.1,1,24.6,1,7.7,1,16.8,9,19.1,9,,,,,1.1,9,,,,,,,,,,,,,6,9,130,9,1624,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250116,0,1,20.2,1,500,9,29.2,1,1400,9,24.4,1,24.7,1,9,1,16.5,9,18.7,9,,,,,0.9,9,,,,,,,,,,,,,6,9,90,9,1630,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250123,5.2,1,22.3,1,708,9,29,1,1431,9,25.1,1,25.7,1,6.7,1,18.5,9,21.2,9,0,9,3.3,1,,,8,1,90,1,1440,9,14.6,1,130,1,1059,9,,,,,,,13.5,1,,,1322,9,64,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250117,4,1,22.3,1,100,9,29.2,1,1400,9,25.6,1,25.8,1,6.9,1,17.6,9,20.5,9,,,,,1.9,9,,,,,,,,,,,,,8,9,100,9,1436,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250127,0.8,1,22.6,1,627,9,30.7,1,1331,9,25,1,26.7,1,8.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250126,2,1,22.4,1,458,9,29,1,1049,9,24.8,1,25.7,1,6.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250127,1.6,1,22.1,1,22,9,30.1,1,1408,9,25.3,1,26.1,1,8,1,17.3,9,20.2,9,0,9,3.6,1,,,8,1,100,1,1628,9,12.5,1,110,1,1659,9,,,,,,,11.5,1,,,1651,9,66,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250126,3.4,1,22.1,1,356,9,29.8,1,1050,9,25.4,1,26,1,7.7,1,17.8,9,20.8,9,0,9,3.9,1,,,8.1,1,110,1,942,9,13.4,1,80,1,1250,9,,,,,,,12.6,1,,,1250,9,63,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250119,0,1,25,1,500,9,28.8,1,1200,9,26.6,1,26.9,1,3.8,1,21,9,22.5,9,,,,,3.1,9,,,,,,,,,,,,,9,9,130,9,1600,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250128,0.8,1,23.3,1,134,9,30.3,1,1351,9,26.2,1,26.8,1,7,1,19.5,9,22.1,9,0,9,3.3,1,,,6.9,1,120,1,1150,9,10.3,1,110,1,932,9,,,,,,,9.7,1,,,932,9,44,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250128,2.4,1,23,1,2001,9,31.7,1,1440,9,25.7,1,27.4,1,8.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250129,0.2,1,23.1,1,9,9,31.3,1,1332,9,25.9,1,27.2,1,8.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250129,0,1,21.8,1,630,9,30.8,1,1336,9,26.4,1,26.3,1,9,1,17.5,9,20.5,9,0,9,2.9,1,,,6.5,1,130,1,1243,9,9.9,1,130,1,1234,9,,,,,,,8.8,1,,,1147,9,7,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250130,0.2,1,23.7,1,1947,9,30.2,1,1351,9,25.6,1,27,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250124,1.5,1,22.5,1,700,9,29,1,1200,9,25.9,1,25.8,1,6.5,1,19.6,9,21.8,9,,,,,2.5,9,,,,,,,,,,,,,8,9,90,9,1900,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250125,4.5,1,23.4,1,400,9,29.2,1,1200,9,26.2,1,26.3,1,5.8,1,21,9,22.6,9,,,,,2.8,9,,,,,,,,,,,,,11,9,130,9,1106,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250127,6,1,23.1,1,1800,9,29.2,1,1400,9,25.8,1,26.2,1,6.1,1,21.3,9,22.3,9,,,,,2.7,9,,,,,,,,,,,,,11,9,120,9,1742,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250120,2,1,23.9,1,2000,9,29,1,1400,9,26.2,1,26.5,1,5.1,1,22.2,9,23.4,9,,,,,3.2,9,,,,,,,,,,,,,11,9,140,9,1548,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250122,7.5,1,23.5,1,1700,9,28.6,1,1100,9,25.3,1,26.1,1,5.1,1,21.7,9,23.1,9,,,,,2.4,9,,,,,,,,,,,,,12,9,70,9,800,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250130,1,1,23.2,1,545,9,29.9,1,1216,9,25.9,1,26.6,1,6.7,1,19,9,22.1,9,0,9,2.9,1,,,7.3,1,130,1,1232,9,11.6,1,140,1,1228,9,,,,,,,10.2,1,,,1228,9,5,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250126,0.5,1,23.7,1,600,9,28.3,1,1000,9,25.9,1,26,1,4.6,1,21.8,9,22.6,9,,,,,2.8,9,,,,,,,,,,,,,9,9,110,9,1348,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250121,1.5,1,23.3,1,2300,9,29.5,1,1300,9,26.3,1,26.4,1,6.2,1,21.7,9,23.2,9,,,,,3.4,9,,,,,,,,,,,,,10,9,110,9,1512,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250123,2,1,24,1,0,9,28.6,1,1500,9,25.7,1,26.3,1,4.6,1,21.5,9,23.6,9,,,,,2.4,9,,,,,,,,,,,,,10,9,100,9,1406,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250131,0.8,1,22.7,1,633,9,29.9,1,1139,9,25.5,1,26.3,1,7.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250131,0,1,20.3,1,657,9,30.1,1,1124,9,25.3,1,25.2,1,9.8,1,15.2,9,19,9,0,9,3.6,1,,,8.5,1,70,1,1538,9,13.3,1,60,1,958,9,,,,,,,12,1,,,958,9,5,9
