,Parcelle,Date,Profondeur de la nappe,Salinité à -30cm
,RB1,30/03/2025,-30,41
,RB2,30/03/2025,-5,"40,5"
,RB3,30/03/2025,-32,41
,RB4,30/03/2025,-3,40
,RH1,30/03/2025,-5,44
,RH2,30/03/2025,0,34
,RH3,30/03/2025,-42,45
,RH4,30/03/2025,0,46
,T1,30/03/2025,-67,46
,T2,30/03/2025,-71,47
,T3,30/03/2025,-76,47
,T4,30/03/2025,Pas d'eau : <-70,X
,A1,30/03/2025,-79,65
,A2,30/03/2025,-57,48
,A3,30/03/2025,-34,50
,A4,30/03/2025,-75,50
,RB1,10/04/2025,8,38
,RB2,10/04/2025,-2,40
,RB3,10/04/2025,-4,41
,RB4,10/04/2025,-1,40
,RH1,10/04/2025,-6,45
,RH2,10/04/2025,-2,45
,RH3,10/04/2025,-6,48
,RH4,10/04/2025,-3,45
,T1,10/04/2025,-13,53
,T2,10/04/2025,-14,45
,T3,10/04/2025,-14,45
,T4,10/04/2025,-16,48
,A1,10/04/2025,-39,54
,A2,10/04/2025,-24,44
,A3,10/04/2025,-27,48
,A4,10/04/2025,-30,47
,RB1,16/04/2025,0,40
,RB2,16/04/2025,-4,40
,RB3,16/04/2025,-4,41
,RB4,16/04/2025,-4,40
,RH1,16/04/2025,-3,47
,RH2,16/04/2025,1,45
,RH3,16/04/2025,-2,47
,RH4,16/04/2025,1,47
,T1,16/04/2025,-19,51
,T2,16/04/2025,-21,46
,T3,16/04/2025,-21,44
,T4,16/04/2025,-23,47
,A1,16/04/2025,-42,53
,A2,16/04/2025,-29,43
,A3,16/04/2025,-34,51
,A4,16/04/2025,-34,43
,RB1,22/04/2025,14,40
,RB2,22/04/2025,7,38
,RB3,22/04/2025,11,41
,RB4,22/04/2025,19,40
,RH1,22/04/2025,4,44
,RH2,22/04/2025,9,43
,RH3,22/04/2025,5,49
,RH4,22/04/2025,9,47
,T1,22/04/2025,8,56
,T2,22/04/2025,6,52
,T3,22/04/2025,7,51
,T4,22/04/2025,7,57
,A1,22/04/2025,1,57
,A2,22/04/2025,4,48
,A3,22/04/2025,5,55
,A4,22/04/2025,4,49
,RB1,30/04/2025,1,38
,RB2,30/04/2025,-3,39
,RB3,30/04/2025,-3,39
,RB4,30/04/2025,-2,39
,RH1,30/04/2025,-1,45
,RH2,30/04/2025,2,45
,RH3,30/04/2025,1,47
,RH4,30/04/2025,4,46
,T1,30/04/2025,3,51
,T2,30/04/2025,1,50
,T3,30/04/2025,4,47
,T4,30/04/2025,3,53
,A1,30/04/2025,-1,56
,A2,30/04/2025,2,50
,A3,30/04/2025,3,50
,A4,30/04/2025,1,54
,RB1,07/05/2025,9,37
,RB2,07/05/2025,6,35
,RB3,07/05/2025,3,35
,RB4,07/05/2025,1,38
,RH1,07/05/2025,2,41
,RH2,07/05/2025,-1,42
,RH3,07/05/2025,-2,47
,RH4,07/05/2025,1,45
,T1,07/05/2025,2,51
,T2,07/05/2025,2,50
,T3,07/05/2025,2,47
,T4,07/05/2025,4,52
,A1,07/05/2025,-7,46
,A2,07/05/2025,4,58
,A3,07/05/2025,1,50
,A4,07/05/2025,-5,51
,RB1,14/05/2025,-2,40
,RB2,14/05/2025,-3,37
,RB3,14/05/2025,-4,38
,RB4,14/05/2025,-5,38
,RH1,14/05/2025,-1,43
,RH2,14/05/2025,3,43
,RH3,14/05/2025,1,42
,RH4,14/05/2025,3,41
,T1,14/05/2025,5,54
,T2,14/05/2025,3,51
,T3,14/05/2025,4,47
,T4,14/05/2025,3,52
,A1,14/05/2025,0,57
,A2,14/05/2025,4,50
,A3,14/05/2025,"4,5",50
,A4,14/05/2025,5,47