Individu,Masse sèche (g),Nombre de disque,Epaisseur (um),Surface (cm2)
RB1I1,"1,365",87,"35,9","93,699"
RB1I2,"1,648",95,"38,33","102,315"
RB2I1,"1,14",63,"38,38","67,851"
RB2I2,"1,699",96,"36,75","103,392"
RB3I1,"1,765",94,"38,47","101,238"
RB3I2,"2,242",111,"39,1","119,547"
RB4I1,"1,136",67,38,"72,159"
RB4I2,"1,964",121,"34,63","130,317"
RB1I3,"1,02",89,"30,6","69,865"
RB1I4,"0,955",80,"31,2","62,8"
RB2I3,"1,241",88,"31,8","69,08"
RB2I4,"1,228",94,"30,8","73,79"
RB3I3,"1,026",80,"29,8","62,8"
RB3I4,"1,388",120,"32,75","94,2"
RB4I3,"1,139",80,"29,8","62,8"
RB4I4,"0,998",80,"30,4","62,8"
RH1I1,"1,571",87,"41,1","93,699"
RH1I2,"2,032",110,"39,56","118,47"
RH2I1,"1,69",93,"38,31","100,161"
RH2I2,"1,049",60,"36,6","64,62"
RH3I1,"1,152",60,36,"64,62"
RH3I2,"1,178",60,"37,2","64,62"
RH4I1,"1,046",57,"39,55","61,389"
RH4I2,"1,08",59,"38,1","63,543"
RH1I3,"1,594",120,35,"94,2"
RH1I4,"1,534",120,39,"94,2"
RH2I3,"1,433",120,35,"94,2"
RH2I4,"1,723",120,"39,8","94,2"
RH3I3,"1,038",80,41,"62,8"
RH3I4,"1,38",110,"32,75","86,35"
RH4I3,"1,245",88,"31,8","69,08"
RH4I4,"1,543",89,44,"69,865"
T1RhI1,"1,095",66,"33,2","71,082"
T1RhI2,"1,701",95,"36,6","102,315"
T1RhI3,"1,657",85,"40,4","91,545"
T2RhI1,"1,697",87,"43,4","93,699"
T2RhI2,"1,107",59,"39,75","63,543"
T2RhI3,"0,958",51,34,"54,927"
T3RhI1,"1,171",59,"34,4","63,543"
T3RhI2,"1,268",66,"33,8","71,082"
T3RhI3,"1,095",64,"36,2","68,928"
T4RhI1,"1,684",88,"37,6","94,776"
T4RhI2,"1,635",87,"38,4","93,699"
T4RhI3,"1,799",90,"39,2","96,93"
T1AVI1,"0,974",51,42,"54,927"
T1AVI2,"0,86",38,"49,4","40,926"
T1AVI3,"1,129",51,"41,4","54,927"
T2AVI1,"0,841",50,42,"53,85"
T2AVI2,"1,157",56,"43,4","60,312"
T2AVI3,"0,932",46,"43,4","49,542"
T3AVI1,"1,268",66,40,"71,082"
T3AVI2,"0,99",58,"41,2","62,466"
T3AVI3,"1,59",71,"50,25","76,467"
T4AVI1,"1,175",59,"41,6","63,543"
T4AVI2,"1,882",85,47,"91,545"
T4AVI3,"1,564",83,"43,4","89,391"
AV1I1,"1,31",87,"37,4","93,699"
AV1I2,"1,327",79,"41,8","85,083"
AV113,"1,239",76,"35,8","81,852"
AV2I1,"1,013",60,"42,2","64,62"
AV2I2,"1,266",81,"36,2","87,237"
AV2I3,"0,982",60,"40,3","64,62"
AV3I1,"0,841",53,"36,8","57,081"
AV3I2,"1,838",96,46,"103,392"
AV3I3,"1,569",90,40,"96,93"
AV4I1,"1,185",69,"38,6","74,313"
AV4I2,"1,361",74,"39,4","79,698"
AV413,"1,262",66,"39,5","71,082"